district_code,district_name,block_code,block_name,udise,name,management,category,type
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010105901,PRATAPGARH  ENG .MED. HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010105902,NABIN PALLI J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010106101,KABIRAJ TILLA HS SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010106103,TRIPURA SPORTS HS SCHOOL,10-Sports Department,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010106201,VIDYASAGAR  HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010106301,CHOWRANGI PARA S.B SCHOOL,11-State Govt. Managed,2 - Primary with Upper Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010106302,PANCHAMUKH JB SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010106401,BADHARGHAT CLASS-XII SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010106402,BAISHNABTILLA S.B SCHOOL,11-State Govt. Managed,2 - Primary with Upper Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010106601,RAMPUR S.B SCHOOL,11-State Govt. Managed,2 - Primary with Upper Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300101,PASCHIM CHARIPARA J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
